Symbol,Name,Market Cap,P/E ttm,EPS ttm,Net Income(a),Beta,Dividend(a),Div Yield
CONE,Cyrusone Inc,8489655000,18.16,0.7,41400000,0.54,2.04,2.81%
COR,Coresite Realty Corp,5124376000,22.82,1.98,75840000,0.25,4.88,4.05%
COTY,Coty Inc,2279942000,0,-0.2,-1006700000,1.14,0,0.00%
CPT,Camden Property Trust,8551369000,17.74,1.99,219620000,0.7,3.32,3.78%
CR,Crane Company,2928572000,11.36,4.77,133300000,1.48,1.72,3.41%
CREE,Cree Inc,6935149000,0,-0.94,-191700000,1.12,0,0.00%
CRI,Carter's Inc,3651591000,18.38,4.5,263800000,1.16,0,0.00%
CRL,Charles River Laboratories Intl,11373510000,31.18,7.12,252020000,1.14,0,0.00%
CRUS,Cirrus Logic Inc,4065321000,19.45,3.43,159500000,0.8,0,0.00%
CSL,Carlisle Companies Inc,6505300000,18.21,6.62,472800000,0.84,2.1,1.72%
CUZ,Cousins Properties Inc,3818198000,8.67,2.28,150420000,0.92,1.2,4.67%
CVLT,Commvault Systems,1863566000,100,0.55,-5650000,0.74,0,0.00%
CW,Curtiss-Wright Corp,3499535000,12.65,6.72,307580000,1.32,0.68,0.81%
CZR,Caesars Entertainment Inc,7764485000,0,-0.4,81000000,2.81,0,0.00%
DAN,Dana Inc,2095004000,17.45,1.19,226000000,2.65,0,0.00%
DAR,Darling International Inc,7137621000,21.67,1.97,312600000,1.26,0,0.00%
DCI,Donaldson Company,6032881000,23.49,2.01,257000000,1.38,0.84,1.76%
DECK,Deckers Outdoor Corp,7222971000,24.68,10.14,276140000,0.81,0,0.00%
DEI,Douglas Emmett,4119559000,11.57,1.87,363710000,0.67,1.12,4.77%
DKS,Dick's Sporting Goods Inc,5006312000,14.6,3.84,297460000,1.67,1.25,2.22%
DNKN,Dunkin' Brands Group,8317901000,36.1,2.79,242020000,0.87,1.61,1.59%
DOC,Physicians Realty Trust,3523878000,15.66,0.45,74480000,0.81,0.92,5.43%
DY,Dycom Industries,2108697000,29.63,2.19,57220000,1.84,0,0.00%
EBS,Emergent Biosolutions,4804001000,19.13,4.77,54500000,1.4,0,0.00%
EGP,Eastgroup Properties,5339455000,25.24,3.08,121660000,0.78,3.16,2.33%
EHC,Encompass Health Corp,6296920000,22.7,2.96,358700000,0.8,1.12,1.77%
EME,Emcor Group,3641365000,11.07,5.78,325140000,1.07,0.32,0.48%
ENPH,Enphase Energy Inc,12950396000,142.79,0.67,161150000,0.95,0,0.00%
ENR,Energizer Holdings Inc,2706421000,14.81,2.65,51100000,1.26,1.2,3.04%
ENS,Enersys Inc,3017141000,16.18,4.3,137120000,1.57,0.7,0.99%
EPC,Edgewell Personal Care,1453996000,9.18,2.99,-372200000,0.72,0,0.00%
EPR,Entertainment Properties Trust,1801134000,5.42,0.43,202240000,1.49,0,0.00%
EQT,Eqt Corp,3979676000,0,-0.22,-1221700000,1.49,0,0.00%
ESNT,Essent Group Ltd,4445205000,8.38,4.63,555710000,1.36,0.64,1.62%
ETRN,Equitrans Midstream Corp,3148382000,2.58,2.86,-203740000,2.3,0.6,8.24%
EV,Eaton Vance Corp,6814986000,17.34,3.43,400040000,1.46,1.5,2.51%
EVR,Evercore Partners Inc,3239161000,11.91,6.57,297440000,1.79,2.32,2.91%
EWBC,East West Bancorp,5062404000,8.54,4.1,674040000,1.98,1.1,3.07%
EXEL,Exelixis Inc,6464196000,23.54,0.89,321010000,1.33,0,0.00%
EXP,Eagle Materials Inc,3583585000,13.54,6.13,70890000,1.29,0,0.00%
FAF,First American Corp,5161348000,8.76,5.22,707410000,1.05,1.76,3.81%
FCFS,First Cash Fin Svcs,2157780000,15.47,3.43,164620000,0.51,1.08,2.07%
FCN,Fti Consulting,3550081000,20.82,5.28,216730000,0.23,0,0.00%
FDS,Factset Research Systems Inc,11787329000,28.63,10.87,372940000,0.78,3.08,0.99%
FFIN,First Finl Bkshs Inc,4194294000,22.6,1.31,164810000,0.98,0.52,1.76%
FHI,Federated Investors,2278457000,7.66,2.96,272340000,1.21,1.08,4.75%
FHN,First Horizon National Corp,3232916000,9.35,1.07,440910000,1.5,0.6,5.80%
FICO,Fair Isaac and Company Inc,11409076000,51.74,7.54,192120000,1.09,0,0.00%
FIVE,Five Below Inc,7488411000,76.24,1.73,175060000,1.09,0,0.00%
FL,Footlocker Inc,3861423000,12.98,2.8,491000000,1.33,0.6,1.62%
FLO,Flowers Foods,5036151000,20.83,1.14,164540000,0.48,0.8,3.36%
FLR,Fluor Corp,1555136000,0,0.62,-1522160000,2.74,0,0.00%
FNB,F.N.B. Corp,2365868000,7.37,0.98,387000000,1.32,0.48,6.56%
FOXF,Fox Factory Cp,3621680000,34.09,2.5,93030000,1.93,0,0.00%
FR,First Industrial Realty Trust,5189101000,21.49,1.64,238780000,0.87,1,2.49%
FSLR,First Solar Inc,9267961000,19.98,3.51,-114930000,1.55,0,0.00%
FULT,Fulton Financial Cor,1752009000,9.45,1.11,226340000,0.9,0.52,4.81%
GATX,GATX Corp,2371950000,13.89,4.75,211200000,1.02,1.92,2.83%
GBCI,Glacier Bancorp Inc,3415642000,13.95,2.55,210540000,1.04,1.2,3.35%
GEF,Greif Bros. Corp,1981605000,10.9,3.68,171000000,1.14,1.76,4.30%
GEO,Geo Group Inc,1077446000,3.13,1.39,166600000,0.89,1.36,15.32%
GGG,Graco Inc,10364086000,33.52,1.82,343850000,0.58,0.7,1.13%
GHC,Graham Holdings Company,1979236000,13.45,29,327860000,0.94,5.8,1.50%
GMED,Globus Medical Inc,5130569000,37.03,1.28,155210000,0.97,0,0.00%
GNRC,Generac Holdings Inc,13598431000,36.92,5.23,252010000,1.02,0,0.00%
GNTX,Gentex Corp,6815479000,21.91,1.25,424680000,1.13,0.48,1.73%
GNW,Genworth Financial Inc,2062828000,11.44,0.32,343000000,1.18,0,0.00%
GO,Grocery Outlet Holding Corp,4084488000,36.55,1.21,15420000,-0.15,0,0.00%
GRUB,Grubhub Inc,6898703000,0,-0.6,-18570000,1.06,0,0.00%
GT,Goodyear Tire Rubber,2313800000,0,-1.83,-311000000,2.15,0,0.00%
HAE,Haemonetics Corp,5285371000,34.95,2.96,76530000,0.57,0,0.00%
HAIN,Hain Celestial Group,3221277000,38.79,0.85,-80410000,0.67,0,0.00%
HCSG,Healthcare Svcs Gp,1664121000,18.59,1.2,64580000,0.48,0.81,3.64%
HE,Hawaiian Electric Industries,3549474000,17.38,1.88,219770000,0.12,1.32,4.06%
HELE,Helen of Troy Ltd,4942568000,18.23,10.97,152330000,0.98,0,0.00%
HIW,Highwoods Properties,3126592000,8.18,3,136920000,0.96,1.92,6.38%
HNI,Hon Industries Inc,1434797000,14.99,2.24,110510000,1.11,1.22,3.63%
HOG,Harley-Davidson Inc,5190273000,24.01,1.06,423640000,1.52,0.08,0.24%
HOMB,Home Bancshares Inc,2697814000,8.92,1.81,289540000,1.54,0.52,3.18%
HPP,Hudson Pacific Properties,2953695000,9.27,0.56,44490000,0.71,1,5.19%
HQY,Healthequity,3951578000,38.58,1.35,39660000,1.44,0,0.00%
HR,Healthcare Realty Trust Inc,3856961000,16.88,0.81,39190000,0.52,1.2,4.23%
HRB,H&R Block,3429727000,8.04,2.12,-7530000,0.75,1.04,5.85%
HRC,Hill-Rom Holdings Inc,6183036000,15.08,6.05,152200000,0.63,0.88,0.95%
HUBB,Hubbell Inc B,7843538000,18.68,7.76,400900000,1.27,3.64,2.52%
HWC,Hancock Whitney Corp,1939466000,0,-0.68,327380000,1.55,1.08,4.81%
HXL,Hexcel Corp,2743323000,24.58,1.29,306600000,1.18,0,0.00%
IAA,Iaa Inc,7579188000,40.88,1.36,193200000,2.01,0,0.00%
IART,Integra Lifesciences,3649777000,19.16,2.17,50200000,1.02,0,0.00%
IBKR,Interactive Brokers,19902928000,20.28,2.37,161000000,0.77,0.4,0.84%
IBOC,Intl Bancshares,1722788000,9.75,2.74,205100000,1.29,1.1,4.04%
ICUI,I C U Medical Inc,3766745000,29.24,6.26,101040000,0.67,0,0.00%
IDA,Idacorp Inc,4449651000,19.08,4.64,232850000,0.46,2.68,3.04%
IDCC,Interdigital Inc,1751013000,45.65,1.23,20930000,1.15,1.4,2.46%
IIVI,I I V I Inc,4734476000,0,-0.88,-67030000,1.23,0,0.00%
INGR,Ingredion Inc,4797609000,11.86,6.14,413000000,0.73,2.56,3.57%
INT,World Fuel Services Corp,1232976000,7.83,2.44,178900000,1.16,0.4,2.06%
ITT,ITT Inc,5425056000,18.29,3.33,325100000,1.59,0.68,1.08%
JACK,Jack IN The Box Inc,1845535000,20.51,3.99,94440000,1.59,1.6,1.97%
JAZZ,Jazz Pharma Plc,8076493000,13.36,10.9,523370000,1.15,0,0.00%
JBGS,Jbg Smith Properties,3075832000,15.63,0.35,65570000,0.61,0.9,3.91%
JBL,Jabil Circuit,4960574000,54.5,0.58,53910000,1.25,0.32,0.96%
JBLU,Jetblue Airways Cp,3149245000,0,-1.29,569000000,1.44,0,0.00%
JCOM,J2 Global Inc,3215785000,10.04,6.72,218810000,0.79,0,0.00%
JEF,Jefferies Financial Group Inc,4929896000,8.6,2.22,964700000,1.4,0.6,3.11%
JHG,Janus Henderson Group Plc,4577940000,9.78,2.56,427600000,1.52,1.44,5.78%
JLL,Jones Lang Lasalle Inc,5856430000,9.19,11.06,535300000,1.57,0,0.00%
JWA,John Wiley Sons Cl A,1713162000,11.81,2.61,-74290000,0.69,1.37,4.48%
JWN,Nordstrom,1908985000,0,-1.62,496000000,1.52,0,0.00%
KAR,Kar Auction Services Inc,1835038000,19.31,0.71,188500000,1.52,0,0.00%
KBH,KB Home,3006061000,10.23,3.22,268780000,1.88,0.36,1.08%
KBR,KBR Inc,3144666000,13.27,1.69,202000000,1.32,0.4,1.81%
KEX,Kirby Corp,2278442000,15.2,2.39,142350000,1.31,0,0.00%
KMPR,Kemper Corp,4081228000,8.76,7.09,531100000,0.67,1.2,1.92%
KMT,Kennametal Inc,2544028000,32.06,0.95,-5660000,2.27,0.8,2.62%
KNX,Knight-Swift Transporation Inc,6386054000,16.13,2.35,309210000,1.21,0.32,0.85%
KRC,Kilroy Realty Corp,5418068000,12.32,1.62,195440000,0.69,2,4.25%
KSS,Kohl's Corp,3439495000,0,-0.72,691000000,1.67,0,0.00%
LAD,Lithia Motors,5950381000,15,15.57,271500000,1.84,1.24,0.53%
LAMR,Lamar Advertis A,6210904000,11.4,2.72,372110000,1.3,2,3.25%
LANC,Lancaster Colony Cor,4565910000,33.94,4.93,136980000,0.3,2.8,1.69%
LEA,Lear Corp,7484731000,29.78,4.11,753600000,1.66,0,0.00%
LECO,Lincoln Elec Hld,6025602000,24.69,4.04,293110000,1.23,1.96,1.93%
LFUS,Littelfuse Inc,4868641000,36.1,4.95,139080000,1.13,1.92,0.96%
LGND,Ligand Pharm,1335599000,45.88,1.84,629300000,1.44,0,0.00%
LHCG,LHC Group Inc,6779530000,48.23,4.39,95730000,0.57,0,0.00%
LII,Lennox International,10589590000,28.71,9.51,408700000,0.95,3.08,1.11%
LITE,Lumentum Hld,6427853000,18.11,4.49,135500000,0.93,0,0.00%
LIVN,Livanova Plc OR Sh,2561830000,24.67,2.02,-155180000,0.85,0,0.00%
LOPE,Grand Canyon Educati,3697453000,14.28,5.43,259180000,0.59,0,0.00%
LPX,Louisiana-Pacific Corp,3176042000,31,0.9,-5000000,1.87,0.58,2.05%
LSI,Life Storage,5381494000,19.92,5.48,258700000,0.41,4.28,3.73%
LSTR,Landstar System,4805819000,25.66,4.9,227720000,1,0.84,0.67%
MAC,Macerich Company,1019345000,2.13,0.39,96820000,1.81,0.6,8.80%
MAN,Manpower Inc,3898306000,15.38,4.35,465700000,1.98,2.18,3.25%
MANH,Manhattan Assoc,5549194000,70.68,1.24,85760000,1.96,0,0.00%
MASI,Masimo Corp,12424812000,66.18,3.49,196220000,0.79,0,0.00%
MAT,Mattel Inc,4856558000,58.54,0.24,-213510000,1.51,0,0.00%
MCY,Mercury General Corp,2228160000,10.24,3.92,320090000,0.34,2.52,6.26%
MD,Mednax Inc,1105024000,5.76,2.21,-1497700000,1.48,0,0.00%
MDU,Mdu Res Group Inc,4678179000,12.93,1.78,335450000,0.76,0.83,3.56%
MEDP,Medpace Holdings Inc,3992870000,32.38,3.04,100440000,1.36,0,0.00%
MIDD,Middleby Corp,5584604000,17.45,5.73,352240000,1.67,0,0.00%
MKSI,Mks Instruments Inc,6220305000,17.38,5.48,140390000,1.46,0.8,0.71%
