Symbol,Name,Market Cap,P/E ttm,EPS ttm,Net Income(a),Beta,Dividend(a),Div Yield
AAOI,Applied Optoelect,213165000,0,-1.62,-66050000,1.98,0,0.00%
AAON,Aaon Inc,3082413000,42.93,1.34,53710000,0.63,0.38,0.64%
AAT,American Assets Trust,1272968000,10.3,0.77,60190000,0.91,1,4.72%
AAWW,Atlas Air Ww,1605534000,5.95,10.03,-293110000,1.59,0,0.00%
ABCB,Ameris Bancorp,2020798000,7.39,3.82,161440000,1.53,0.6,2.06%
ABG,Asbury Automotive Group Inc,1987538000,9.74,9.18,184400000,1.73,0,0.00%
ABM,ABM Industries Inc,2361386000,14.66,2.4,127400000,1.23,0.74,2.09%
ABTX,Allegiance Banc CS,559837000,14.41,1.89,52960000,1.28,0.4,1.46%
ACA,Arcosa Inc,2200437000,17.57,2.56,113300000,0.37,0.2,0.44%
ACLS,Axcelis Tech Inc,754970000,21.3,1.03,17030000,1.32,0,0.00%
ADC,Agree Realty Corp,3491141000,19.65,1.92,80080000,0.24,2.4,3.81%
ADTN,Adtran Inc,526579000,0,-0.27,-52980000,1.31,0.36,3.28%
ADUS,Addus Homecare Corp,1546291000,0,1.91,25240000,0.51,0,0.00%
AEGN,Aegion Corp,428024000,14.19,1.1,-20890000,1.25,0,0.00%
AEIS,Advanced Energy,2645606000,20.26,3.32,64940000,1.61,0,0.00%
AEL,American Equity Investment Life,2243702000,3.53,6.59,246090000,1.63,0.3,1.23%
AGYS,Agilysys Inc,647546000,0,-1.47,-34070000,1.23,0,0.00%
AHH,Armada Hoffler Properties Inc,679377000,7.09,0.47,24050000,0.69,0.44,5.08%
AIN,Albany International Corp,1598850000,13.43,4.01,132400000,1.37,0.76,1.54%
AIR,AAR Corp,686251000,10.73,1.74,4400000,1.59,0,0.00%
AIT,Applied Industrial Technologies,2382903000,16.37,3.81,24040000,1.39,1.28,2.08%
AJRD,Aerojet Rocketdyne Holdings,2540933000,23.02,1.43,141000000,0.28,0,0.00%
AKR,Acadia Realty Trust,815204000,7.43,0.48,53050000,1.01,0,0.00%
ALEX,Alexander and Baldwin Inc,887710000,0,0.11,-36400000,1.38,0,0.00%
ALG,Alamo Group,1433883000,22.28,5.21,62910000,0.95,0.52,0.43%
ALGT,Allegiant Travel Com,2234412000,0,2.51,232120000,1.54,0,0.00%
ALRM,Alarm.com,2888994000,45.16,1.28,53330000,0.93,0,0.00%
AMAG,Amag Pharmaceuticals,473036000,0,-2.3,-466460000,1.03,0,0.00%
AMBC,Ambac Financial Group,577193000,0,-6.55,-216000000,1.38,0,0.00%
AMN,Amn Healthcare Services Inc,3024617000,19.63,3.28,113990000,0.53,0,0.00%
AMPH,Amphastar Pharma,953994000,39.08,0.5,48940000,0.99,0,0.00%
AMSF,Amerisafe Inc,1160439000,12.24,4.67,92690000,0.43,1.08,1.80%
AMWD,Amer Woodmark Cp,1425033000,13.24,6.13,74860000,2.43,0,0.00%
ANDE,Andersons Inc,725505000,552.25,0.04,18310000,0.81,0.17,0.80%
ANF,Abercrombie & Fitch Company,891310000,0,-1.52,39360000,1.48,0,0.00%
ANGO,Angiodynamics Inc,404579000,353.33,0.03,-166790000,0.5,0,0.00%
ANIK,Anika Therapeutics,476502000,20.71,1.61,27190000,1.1,0,0.00%
ANIP,ANI Pharma Inc,324131000,7.94,3.44,6090000,1.26,0,0.00%
APEI,American Public Eduducation,413576000,25.29,1.09,10010000,0.75,0,0.00%
APOG,Apogee Entrpr Inc,633264000,12.56,1.96,61910000,1.29,0.75,3.12%
ARCB,Arcbest Corp,766912000,11.49,2.61,39990000,1.6,0.32,1.06%
ARI,Apollo Commercial Real Estate,1210763000,5.85,1.57,230170000,1.14,4.2,48.67%
ARLO,Arlo Technologies Inc,365681000,0,-1.04,-85950000,1.73,0,0.00%
ARNC,Arconic Corp,2389702000,0,-0.29,225000000,N/A,0,0.00%
AROC,Archrock Inc,862632000,8.74,0.65,97330000,2.8,0.58,10.28%
ARR,Armour Residential R,621408000,6.22,1.52,-249910000,1.03,1.2,12.50%
ASIX,Advansix Inc,418768000,15.53,0.92,41350000,1.94,0,0.00%
ASTE,Astec Inds Inc,1156144000,23.25,2.2,22310000,1.23,0.44,0.86%
ATI,Allegheny Technologies Inc,1197124000,9.51,0.87,257600000,1.64,0,0.00%
ATNI,Atn International,733730000,124.14,0.27,-10810000,0.23,0.68,1.48%
AVA,Avista Corp,2264965000,18.15,1.82,196980000,0.43,1.62,4.86%
AVAV,Aerovironment Inc,1830699000,49.36,1.52,41070000,0.66,0,0.00%
AVD,American Vanguard Corp,407417000,35,0.38,13600000,1.03,0,0.00%
AWR,American States Water Company,2797282000,34.3,2.21,84340000,-0.09,1.34,1.77%
AX,Axos Financial Inc,1561233000,8.41,3.09,183440000,1.48,0,0.00%
AXL,American Axle & Manufacturing,751000000,0,-0.88,-484500000,2.83,0,0.00%
AZZ,Azz Inc,870938000,16.39,2.01,48230000,1.43,0.68,2.04%
B,Barnes Group,1846508000,16.83,2.14,158350000,1.15,0.64,1.75%
BANC,First Pactrust Bancorp,596254000,49.65,0.23,23760000,1.92,0.24,2.02%
BANF,Bancfirst Corp,1444684000,14.31,3.01,134880000,1.29,1.36,3.07%
BANR,Banner Corp,1286116000,10.64,3.38,146280000,1.15,1.64,4.48%
BBBY,Bed Bath & Beyond,2586945000,0,-1.46,-613820000,2.37,0,0.00%
BCC,Boise Cascade L.L.C.,1461656000,14.62,2.57,80930000,2.28,0.4,1.07%
BCEI,Bonanza Creek Energy Inc,375637000,5.06,3.53,67070000,2.2,0,0.00%
BCOR,Blucora Inc,493831000,21.6,0.5,48150000,1.25,0,0.00%
BCPC,Balchem Cp,3242562000,29.39,3.35,79670000,0.63,0.52,0.52%
BDN,Brandywine Realty Trust,1499337000,6.18,1.75,34270000,1.03,0.76,8.65%
BEAT,Biotelemetry Inc,1425856000,22.32,1.8,29840000,1.14,0,0.00%
BELFB,BEL Fuse Inc Cl B,127791000,167.17,0.06,-8740000,1.36,0.28,2.69%
BFS,Saul Centers,581624000,8.53,1.35,51720000,0.94,2.12,8.46%
BGS,B&G Foods Holdings,1729247000,13.46,1.99,76390000,0.48,1.9,7.05%
BHE,Benchmark Electronics,751826000,22.53,0.92,23430000,0.96,0.64,3.10%
